date,price,price_diff,sigma_price,ewma_short,ewma_long,raw_forecast,scaled_forecast,capped_forecast,N_unrounded,position,forecast_scale,buffer_contracts,prev_pos,pnl_price,delta_pos,cost_usd,cost_pct,slip_cost,pnl,equity,drawdown,bundle,sample
2007-09-05,13305.4697265625,-143.390625,175.44571099629633,13284.306198823742,13440.749977219806,-0.8916933763024073,-4.748754618254936,-4.748754618254936,-0.43543486309072266,-1,5.325546588611702,0.091694538483173,-1.0,143.390625,0.0,0.0,0.0,0.0,143.390625,9767.994535546875,0.026278931788477695,2,OOS
2007-09-06,13363.349609375,57.8798828125,174.857392661203,13291.834142685768,13438.838857026107,-0.840712034550176,-4.477251107603493,-4.477251107603493,-0.4099610932204073,-1,5.325546588611702,0.09156535636881986,-1.0,-57.8798828125,0.0,0.0,0.0,0.0,-57.8798828125,9710.114652734375,0.03204867921360664,2,OOS
2007-09-07,13113.3798828125,-249.9697265625,175.8073938663991,13274.838498888314,13430.80283297145,-0.8871318245105138,-4.724461861670841,-4.724461861670841,-0.4375580810176122,-1,5.325546588611702,0.09261543300147769,-1.0,249.9697265625,0.0,0.0,0.0,0.0,249.9697265625,9960.084379296875,0.007130484564416814,2,OOS
2007-09-10,13127.849609375,14.4697265625,175.20592899218545,13260.839557029904,13423.322506462897,-0.9273827111195558,-4.938819833540222,-4.938819833540222,-0.4583643740175566,-1,5.325546588611702,0.09280848248497332,-1.0,-14.4697265625,0.0,0.0,0.0,0.0,-14.4697265625,9945.614652734375,0.008572897083577516,2,OOS
2007-09-11,13308.3896484375,180.5400390625,170.37137328686964,13265.36813716396,13420.484658116591,-0.9104611764292582,-4.848703412196232,-4.848703412196232,-0.45502625253744117,-1,5.325546588611702,0.09384493417206888,-1.0,-180.5400390625,0.0,0.0,0.0,0.0,-180.5400390625,9765.074613671875,0.026570003762041203,2,OOS
2007-09-12,13291.650390625,-16.7392578125,166.32887404359334,13267.871208922154,13417.303565092107,-0.8984150047861688,-4.784550963896547,-4.784550963896547,-0.46032404352324524,-1,5.325546588611702,0.09621050062937497,-1.0,16.7392578125,0.0,0.0,0.0,0.0,16.7392578125,9781.813871484375,0.024901353361087324,2,OOS
2007-09-13,13424.8798828125,133.2294921875,167.20066343591108,13282.824415959329,13417.49063466545,-0.805416772510232,-4.289284545252513,-4.289284545252513,-0.4064717043468842,-1,5.325546588611702,0.0947644531526306,-1.0,-133.2294921875,0.0,0.0,0.0,0.0,-133.2294921875,9648.584379296875,0.03818231527993305,2,OOS
2007-09-14,13442.51953125,17.6396484375,165.00415164761046,13298.03347455844,13418.108632111982,-0.7277099173236489,-3.8754530677018617,-3.8754530677018617,-0.37168869762392537,0,5.325546588611702,0.09590845022007616,-1.0,-17.6396484375,1.0,3.0,0.0,2.6885039062500002,-23.32815234375,9625.256226953124,0.040507778642642274,2,OOS
2007-09-17,13403.419921875,-39.099609375,163.08915290301894,13308.07027906478,13417.7459479086,-0.6724890459700814,-3.581371744644705,-3.581371744644705,-0.3485254417020893,0,5.325546588611702,0.09731618680000094,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,9625.256226953124,0.040507778642642274,2,OOS
2007-09-18,13739.3896484375,335.9697265625,172.72895981674117,13349.148314243133,13425.687767674744,-0.44311882334506314,-2.3598499380149325,-2.3598499380149325,-0.21175947549112428,0,5.325546588611702,0.08973429711774511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9625.256226953124,0.040507778642642274,2,OOS
