Date,Open,High,Low,Close,Tickvol,Volume,Spread
2024-02-16 00:00:00,38636.0,38872.5,38382.5,38382.5,4275,0,700
2024-02-16 04:00:00,38387.5,38827.5,38387.5,38502.5,3907,0,700
2024-02-16 08:00:00,38502.5,38702.5,38477.5,38652.5,1687,0,700
2024-02-16 12:00:00,38647.5,38697.5,38492.5,38577.5,1393,0,700
2024-02-16 16:00:00,38572.5,38587.5,38302.5,38532.5,2373,0,700
2024-02-16 20:00:00,38532.5,38572.5,38232.5,38257.5,1491,0,700
2024-02-19 00:00:00,38297.5,38557.5,38263.5,38367.5,2683,0,700
2024-02-19 04:00:00,38367.5,38477.5,38287.5,38452.5,1756,0,700
2024-02-19 08:00:00,38452.5,38547.5,38422.5,38502.5,1318,0,700
2024-02-19 12:00:00,38507.5,38532.5,38452.5,38462.5,755,0,700
2024-02-19 16:00:00,38462.5,38617.5,38457.5,38567.5,702,0,700
2024-02-20 00:00:00,38558.5,38752.5,38427.5,38472.5,2913,0,700
2024-02-20 04:00:00,38477.5,38477.5,38287.5,38427.5,2397,0,700
2024-02-20 08:00:00,38422.5,38562.5,38402.5,38517.5,1744,0,700
2024-02-20 12:00:00,38512.5,38517.5,38403.5,38440.5,1318,0,700
2024-02-20 16:00:00,38440.5,38455.5,38115.5,38190.5,2344,0,700
2024-02-20 20:00:00,38190.5,38320.5,38130.5,38300.5,1596,0,700
2024-02-21 00:00:00,38279.0,38355.5,38150.5,38264.4,2557,0,700
2024-02-21 04:00:00,38269.4,38290.5,38100.5,38285.5,1927,0,700
2024-02-21 08:00:00,38285.5,38380.5,38275.5,38285.5,1402,0,700
2024-02-21 12:00:00,38285.5,38385.5,38275.5,38310.5,1266,0,700
2024-02-21 16:00:00,38310.5,38455.5,38280.5,38385.5,2353,0,700
2024-02-21 20:00:00,38385.5,38808.0,38234.5,38790.5,2381,0,700
2024-02-22 00:00:00,38804.0,38940.5,38660.5,38795.5,3630,0,700
2024-02-22 04:00:00,38800.5,39175.5,38800.5,39125.5,2970,0,700
2024-02-22 08:00:00,39120.5,39310.5,39095.5,39245.5,2095,0,700
2024-02-22 12:00:00,39245.5,39320.5,39230.5,39270.5,1415,0,700
2024-02-22 16:00:00,39270.5,39390.5,39195.5,39385.5,2455,0,700
2024-02-22 20:00:00,39385.5,39496.5,39340.5,39446.5,1501,0,700
2024-02-23 00:00:00,39480.0,39560.5,39281.5,39426.5,1245,0,700
2024-02-23 04:00:00,39421.5,39541.5,39411.5,39511.5,789,0,700
2024-02-23 08:00:00,39506.5,39516.5,39401.5,39426.5,1213,0,700
2024-02-23 12:00:00,39421.5,39551.5,39406.5,39542.5,1016,0,700
2024-02-23 16:00:00,39542.5,39645.5,39440.5,39555.5,2637,0,700
2024-02-23 20:00:00,39550.5,39570.5,39427.0,39434.5,1602,0,700
2024-02-26 00:00:00,39465.5,39533.5,39199.5,39319.5,2263,0,700
2024-02-26 04:00:00,39324.5,39364.5,39189.5,39214.5,1492,0,700
2024-02-26 08:00:00,39207.0,39339.5,39194.5,39329.5,1184,0,700
2024-02-26 12:00:00,39329.5,39404.5,39299.5,39384.5,968,0,700
2024-02-26 16:00:00,39384.5,39509.5,39359.5,39464.5,1864,0,700
2024-02-26 20:00:00,39464.5,39484.5,39314.5,39319.5,1565,0,700
2024-02-27 00:00:00,39325.5,39429.5,39253.5,39324.5,2326,0,700
